deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55803817,14:00:00,14:00:00,,1,,47800
55803817,14:15:00,14:15:00,899,2,,
55803818,17:19:00,17:19:00,323,1,,
55803818,17:39:00,17:39:00,,2,,47800
55803819,20:04:00,20:04:00,178,1,,
55803819,20:13:00,20:13:00,,2,,47800
55803820,21:09:00,21:09:00,899,1,,
55803820,21:25:00,21:25:00,,2,,47800
55803821,21:21:00,21:21:00,33,1,,
55803821,21:31:00,21:31:00,,2,,47800
55845172,07:58:00,07:58:00,17861,1,,
55845172,08:14:00,08:14:00,29004,2,,
55845197,08:16:00,08:16:00,899,1,,
55845197,08:35:00,08:35:00,1026,2,,
55845211,08:14:00,08:14:00,900,1,,
55845211,08:30:00,08:30:00,88333,2,,
55845236,09:16:00,09:16:00,175,1,,
55845236,09:19:00,09:19:00,178,2,,
55845407,06:33:00,06:33:00,899,1,,
55845407,06:52:00,06:52:00,1026,2,,
55845435,05:39:00,05:39:00,900,1,,
55845435,05:54:00,05:54:00,88333,2,,
55845608,16:02:00,16:02:00,142,1,,
55845608,16:17:00,16:17:00,6551,2,,
55845627,15:11:00,15:11:00,900,1,,
55845627,15:20:00,15:20:00,1026,2,,
55845759,17:02:00,17:02:00,88333,1,,
55845759,17:31:00,17:31:00,6551,2,,
55845981,08:20:00,08:20:00,6551,1,,
55845981,08:33:00,08:33:00,,2,,47800
55845982,14:00:00,14:00:00,,1,,47800
55845982,14:15:00,14:15:00,899,2,,
55845983,12:45:00,12:45:00,,1,,47800
55845983,13:10:00,13:10:00,7600,2,,
55845984,14:28:00,14:28:00,,1,,47800
55845984,14:45:00,14:45:00,33,2,,
55845985,08:46:00,08:46:00,6551,1,,
55845985,08:59:00,08:59:00,,2,,47800
55845986,08:34:00,08:34:00,17861,1,,
55845986,08:47:00,08:47:00,,2,,47800
55845987,17:44:00,17:44:00,13,1,,
55845987,17:53:00,17:53:00,,2,,47800
55845988,05:57:00,05:57:00,,1,,47800
55845988,06:18:00,06:18:00,1026,2,,
55845989,18:47:00,18:47:00,1026,1,,
55845989,18:58:00,18:58:00,8178,2,,
55845990,05:59:00,05:59:00,,1,,47800
55845990,06:20:00,06:20:00,994,2,,
55845991,09:09:00,09:09:00,899,1,,
55845991,09:25:00,09:25:00,,2,,47800
55845992,10:11:00,10:11:00,8178,1,,
55845992,10:34:00,10:34:00,,2,,47800
55845993,18:23:00,18:23:00,1026,1,,
55845993,18:50:00,18:50:00,,2,,47800
55845994,14:42:00,14:42:00,,1,,47800
55845994,15:12:00,15:12:00,334,2,,
55845995,11:31:00,11:31:00,8178,1,,
55845995,11:54:00,11:54:00,,2,,47800
