pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
cntsq-061,node-cntsq-prospectstair-fareunpaid,node-cntsq-prospectstair-farepaid,,6,0,,,,,,,Unpaid side of fare gates to Paid side of fare gates,,Enter - Fare gates,
cntsq-062,node-cntsq-westernstair-farepaid,node-cntsq-westernstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
cntsq-063,node-cntsq-ibstair-farepaid,node-cntsq-ibstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
cntsq-064,node-cntsq-pearlstair-farepaid,node-cntsq-pearlstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
cntsq-065,node-cntsq-essexstair-farepaid,node-cntsq-essexstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
cntsq-066,node-cntsq-obstair-farepaid,node-cntsq-obstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
cntsq-067,node-cntsq-prospectstair-farepaid,node-cntsq-prospectstair-fareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
coecl-000,node-coecl-wbfareunpaid,node-coecl-977-platform,,1,0,35.0520000,35.0520000,,,,,Unpaid side of fare gates to Bottom of westbound platform Elevator 977,,Elevator,
coecl-001,node-coecl-wbfareunpaid,node-coecl-439-platform,,1,0,39.6240000,39.6240000,,,,,Unpaid side of fare gates to Bottom of Escalator 439 from westbound platform,,Exit,
coecl-002,node-coecl-wbfareunpaid,node-coecl-churchstair-platform,,1,0,39.6240000,39.6240000,,,,,Unpaid side of fare gates to Bottom of Old South Church stairs,,Exit,
coecl-003,node-coecl-wbfareunpaid,node-coecl-eaststair-platform,,1,0,33.2232000,33.2232000,,,,,Unpaid side of fare gates to Bottom of northeast stairs,,Exit,
coecl-004,node-coecl-ebfareunpaid,node-coecl-976-platform,,1,0,6.0960000,6.0960000,,,,,Unpaid side of fare gates to Bottom of Park Street & East platform Elevator 976,,Elevator,
coecl-005,node-coecl-ebfareunpaid,node-coecl-bplstair-platform,,1,0,7.0104000,7.0104000,,,,,Unpaid side of fare gates to Bottom of westbound platform stairs,,Exit,
coecl-006,node-coecl-977-platform,node-coecl-wbfareunpaid,,1,0,35.0520000,35.0520000,,,,,Bottom of westbound platform Elevator 977 to Unpaid side of fare gates,,"Green Line - Kenmore & West, (E) Heath Street",
coecl-007,node-coecl-churchstair-platform,node-coecl-wbfareunpaid,,1,0,39.6240000,39.6240000,,,,,Bottom of Old South Church stairs to Unpaid side of fare gates,,"Green Line - Kenmore & West, (E) Heath Street",
coecl-008,node-coecl-eaststair-platform,node-coecl-wbfareunpaid,,1,0,39.6240000,39.6240000,,,,,Bottom of northeast stairs to Unpaid side of fare gates,,"Green Line - Kenmore & West, (E) Heath Street",
coecl-009,node-coecl-976-platform,node-coecl-ebfareunpaid,,1,0,6.0960000,6.0960000,,,,,Bottom of Park Street & East platform Elevator 976 to Unpaid side of fare gates,,Green Line - Park Street & North,
coecl-010,node-coecl-bplstair-platform,node-coecl-ebfareunpaid,,1,0,7.0104000,7.0104000,,,,,Bottom of westbound platform stairs to Unpaid side of fare gates,,Green Line - Park Street & North,
coecl-011,node-coecl-977-platform,door-coecl-church,977,5,0,,,,44,,,"Bottom of westbound platform Elevator 977 to Copley - Dartmouth St, Old South Church",977.0000000,Street,
coecl-012,door-coecl-church,node-coecl-977-platform,977,5,0,,,,44,,,"Copley - Dartmouth St, Old South Church to Bottom of westbound platform Elevator 977",977.0000000,Lobby,
coecl-013,node-coecl-439-platform,door-coecl-church,439,4,0,,,31,,,,"Bottom of Escalator 439 from westbound platform to Copley - Dartmouth St, Old South Church",439.0000000,Exit,
coecl-014,node-coecl-churchstair-platform,door-coecl-church,,2,0,,,,,36,,"Bottom of Old South Church stairs to Copley - Dartmouth St, Old South Church",,Exit,
coecl-015,door-coecl-church,node-coecl-churchstair-platform,,2,0,,,,,-36,,"Copley - Dartmouth St, Old South Church to Bottom of Old South Church stairs",,Green Line - Westbound trains only,
coecl-016,node-coecl-976-platform,door-coecl-bpl,976,5,0,,,,44,,,Bottom of Park Street & East platform Elevator 976 to Copley - Boylston St,976.0000000,Street,
coecl-017,door-coecl-bpl,node-coecl-976-platform,976,5,0,,,,44,,,Copley - Boylston St to Bottom of Park Street & East platform Elevator 976,976.0000000,Lobby,
coecl-018,node-coecl-eaststair-platform,door-coecl-east,,2,0,,,,,37,,Bottom of northeast stairs to Copley - Dartmouth St (East),,Exit,
coecl-019,door-coecl-east,node-coecl-eaststair-platform,,2,0,,,,,-37,,Copley - Dartmouth St (East) to Bottom of northeast stairs,,Green Line - Eastbound trains only,
coecl-020,node-coecl-bplstair-platform,door-coecl-bpl,,2,0,,,,,44,,Bottom of westbound platform stairs to Copley - Boylston St,,Exit,
coecl-021,door-coecl-bpl,node-coecl-bplstair-platform,,2,0,,,,,-44,,Copley - Boylston St to Bottom of westbound platform stairs,,Green Line - Eastbound trains only,
coecl-022,node-coecl-ebfarepaid,70154,,1,0,24.3840000,24.3840000,,,,,Paid side of fare gates to Green Line (Park Street & North),,Lechmere via Park,
coecl-023,70154,node-coecl-ebfarepaid,,1,0,24.3840000,24.3840000,,,,,Green Line (Park Street & North) to Paid side of fare gates,,"Exit, Boylston Street, elevator",
coecl-024,node-coecl-wbfarepaid,70155,,1,0,21.0312000,21.0312000,,,,,Paid side of fare gates to Green Line (Kenmore & West/Heath Street),,Boston College/Cleveland Circle/Riverside/Heath Street,
coecl-025,70155,node-coecl-wbfarepaid,,1,0,21.0312000,21.0312000,,,,,Green Line (Kenmore & West/Heath Street) to Paid side of fare gates,,"Exit, Dartmouth Street, elevator",
coecl-026,node-coecl-ebfarepaid,node-coecl-ebfareunpaid,,7,0,,,,,,,Paid side of fare gates to Unpaid side of fare gates,,Exit - Fare gates,
