"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"59_-1054","1","59",,,3,,"FFFF7C","000000"
"592-1054","1","59",,,3,,"FFFF7C","000000"
"593-1054","1","59",,,3,,"FFFF7C","000000"
"60_-1054","1","60",,,3,,"FFFF7C","000000"
"602-1054","1","60",,,3,,"FFFF7C","000000"
"603-1054","1","60",,,3,,"FFFF7C","000000"
"604-1054","1","60",,,3,,"FFFF7C","000000"
"623-1054","1","62",,,3,,"FFFF7C","000000"
"624-1054","1","62",,,3,,"FFFF7C","000000"
"625-1054","1","62",,,3,,"FFFF7C","000000"
"626-1054","1","62",,,3,,"FFFF7C","000000"
"627-1054","1","62",,,3,,"FFFF7C","000000"
"628-1054","1","62",,,3,,"FFFF7C","000000"
"64_-1054","1","64",,,3,,"FFFF7C","000000"
"643-1054","1","64",,,3,,"FFFF7C","000000"
"646-1054","1","64",,,3,,"FFFF7C","000000"
"65_-1054","1","65",,,3,,"FFFF7C","000000"
"661-1054","1","66",,,3,,"FFFF7C","000000"
"663-1054","1","66",,,3,,"FFFF7C","000000"
"665-1054","1","66",,,3,,"FFFF7C","000000"
"666-1054","1","66",,,3,,"FFFF7C","000000"
"667-1054","1","66",,,3,,"FFFF7C","000000"
"674-1054","1","67",,,3,,"FFFF7C","000000"
"68_-1054","1","68",,,3,,"FFFF7C","000000"
"681-1054","1","68",,,3,,"FFFF7C","000000"
"69_-1054","1","69",,,3,,"FFFF7C","000000"
"691-1054","1","69",,,3,,"FFFF7C","000000"
"70_-1054","1","70",,,3,,"FFFF7C","000000"
"701_-1054","1","CT1",,,3,,"FFFF7C","000000"
